"Team","W","L","W/L%","GB","PS/G","PA/G","SRS","Year","Total.PF","Total.PA","Ratio"
"Cleveland Cavaliers",43,39,0.524,9,90.5,89.8,0.55,1995,7421,7364,1.00774035850081
"Atlanta Hawks",42,40,0.512,10,96.6,95.3,1.06,1995,7921,7815,1.01356365962892
"Milwaukee Bucks",34,48,0.415,18,99.3,103.7,-4.3,1995,8143,8503,0.957662001646478
"Detroit Pistons",28,54,0.341,24,98.2,105.5,-7.08,1995,8052,8651,0.930759449774593
"San Antonio Spurs",62,20,0.756,0,106.6,100.6,5.9,1995,8741,8249,1.05964359316281
"Utah Jazz",60,22,0.732,2,106.4,98.4,7.76,1995,8725,8069,1.08129879786839
"Houston Rockets",47,35,0.573,15,103.5,101.4,2.32,1995,8487,8315,1.02068550811786
"Denver Nuggets",41,41,0.5,21,101.3,100.5,0.96,1995,8307,8241,1.00800873680379
"Dallas Mavericks",36,46,0.439,26,103.2,106.1,-2.39,1995,8462,8700,0.97264367816092
"Minnesota Timberwolves",21,61,0.256,41,94.2,103.2,-8.22,1995,7724,8462,0.912786575277712
"Phoenix Suns",59,23,0.72,0,110.6,106.8,3.86,1995,9069,8758,1.03551039050011
"Seattle SuperSonics",57,25,0.695,2,110.4,102.2,7.91,1995,9053,8380,1.08031026252983
"Los Angeles Lakers",48,34,0.585,11,105.1,105.3,-0.01,1995,8618,8635,0.998031268094962
"Portland Trail Blazers",44,38,0.537,15,103.1,99.2,3.8,1995,8454,8134,1.03934103761987
"Sacramento Kings",39,43,0.476,20,98.2,99.2,-0.74,1995,8052,8134,0.989918859109909
"Golden State Warriors",26,56,0.317,33,105.7,111.1,-4.9,1995,8667,9110,0.951372118551043
"Los Angeles Clippers",17,65,0.207,42,96.7,105.8,-8.43,1995,7929,8676,0.913900414937759
"Orlando Magic",60,22,0.732,0,104.5,99,5.4,1996,8569,8118,1.05555555555556
"New York Knicks",47,35,0.573,13,97.2,94.9,2.24,1996,7970,7782,1.02415831405808
"Miami Heat",42,40,0.512,18,96.5,95,1.46,1996,7913,7790,1.01578947368421
"Washington Bullets",39,43,0.476,21,102.5,101.5,0.99,1996,8405,8323,1.00985221674877
"Boston Celtics",33,49,0.402,27,103.6,107,-3.37,1996,8495,8774,0.968201504444951
"New Jersey Nets",30,52,0.366,30,93.7,97.9,-4.14,1996,7683,8028,0.957025411061285
"Philadelphia ers",18,64,0.22,42,94.5,104.5,-9.45,1996,7749,8569,0.904306220095694
"Chicago Bulls",72,10,0.878,0,105.2,92.9,11.8,1996,8626,7618,1.13231819375164
"Indiana Pacers",52,30,0.634,20,99.3,96.1,3.11,1996,8143,7880,1.03337563451777
"Cleveland Cavaliers",47,35,0.573,25,91.1,88.5,2.49,1996,7470,7257,1.02935097147582
"Atlanta Hawks",46,36,0.561,26,98.3,97.1,1.29,1996,8061,7962,1.01243406179352
"Detroit Pistons",46,36,0.561,26,95.4,92.9,2.45,1996,7823,7618,1.02690995011814
"Charlotte Hornets",41,41,0.5,31,102.8,103.4,-0.48,1996,8430,8479,0.994221016629319
"Milwaukee Bucks",25,57,0.305,47,95.6,100.9,-4.92,1996,7839,8274,0.947425670775925
"Toronto Raptors",21,61,0.256,51,97.5,105,-7.2,1996,7995,8610,0.928571428571429
"San Antonio Spurs",59,23,0.72,0,103.4,97.1,5.98,1996,8479,7962,1.0649334338106
"Utah Jazz",55,27,0.671,4,102.5,95.9,6.25,1996,8405,7864,1.06879450661241
"Houston Rockets",48,34,0.585,11,102.5,100.7,1.63,1996,8405,8257,1.01792418553954
"Denver Nuggets",35,47,0.427,24,97.7,100.4,-2.62,1996,8011,8233,0.973035345560549
"Minnesota Timberwolves",26,56,0.317,33,97.9,103.2,-5.14,1996,8028,8462,0.948711888442449
"Dallas Mavericks",26,56,0.317,33,102.5,107.5,-4.71,1996,8405,8815,0.953488372093023
"Vancouver Grizzlies",15,67,0.183,44,89.8,99.8,-9.55,1996,7364,8184,0.89980449657869
"Seattle SuperSonics",64,18,0.78,0,104.5,96.7,7.4,1996,8569,7929,1.08071635767436
"Los Angeles Lakers",53,29,0.646,11,102.9,98.5,4.21,1996,8438,8077,1.04469481243036
"Portland Trail Blazers",44,38,0.537,20,99.3,97,2.21,1996,8143,7954,1.02376162936887
"Phoenix Suns",41,41,0.5,23,104.3,104,0.28,1996,8553,8528,1.00293151969981
"Sacramento Kings",39,43,0.476,25,99.5,102.3,-2.62,1996,8159,8389,0.972583144594111
"Golden State Warriors",36,46,0.439,28,101.6,103.1,-1.42,1996,8331,8454,0.985450674237048
"Los Angeles Clippers",29,53,0.354,35,99.4,103,-3.46,1996,8151,8446,0.965072223537769
"Miami Heat",61,21,0.744,0,94.8,89.3,5.56,1997,7774,7323,1.06158678137375
"New York Knicks",57,25,0.695,4,95.4,92.2,3.31,1997,7823,7560,1.03478835978836
"Orlando Magic",45,37,0.549,16,94.1,94.5,-0.07,1997,7716,7749,0.995741385985288
"Washington Bullets",44,38,0.537,17,99.4,97.7,1.77,1997,8151,8011,1.01747597054051
"New Jersey Nets",26,56,0.317,35,97.2,101.8,-3.89,1997,7970,8348,0.954719693339722
"Philadelphia ers",22,60,0.268,39,100.2,106.7,-5.89,1997,8216,8749,0.939078751857355
"Boston Celtics",15,67,0.183,46,100.6,107.9,-6.62,1997,8249,8848,0.932301084990958
"Chicago Bulls",69,13,0.841,0,103.1,92.3,10.7,1997,8454,7569,1.11692429647245
"Atlanta Hawks",56,26,0.683,13,94.8,89.4,5.52,1997,7774,7331,1.06042831810121
"Detroit Pistons",54,28,0.659,15,94.2,88.9,5.45,1997,7724,7290,1.05953360768176
"Charlotte Hornets",54,28,0.659,15,98.9,97,2.13,1997,8110,7954,1.01961277344732
"Cleveland Cavaliers",42,40,0.512,27,87.5,85.6,2.32,1997,7175,7019,1.02222538823194
"Indiana Pacers",39,43,0.476,30,95.4,94.4,1.49,1997,7823,7741,1.01059294664772
"Milwaukee Bucks",33,49,0.402,36,95.3,97.2,-1.38,1997,7815,7970,0.980552070263488
"Toronto Raptors",30,52,0.366,39,95.5,98.6,-2.56,1997,7831,8085,0.968583797155226
"Utah Jazz",64,18,0.78,0,103.1,94.3,7.97,1997,8454,7733,1.0932367774473
"Houston Rockets",57,25,0.695,7,100.6,96.1,3.85,1997,8249,7880,1.04682741116751
"Minnesota Timberwolves",40,42,0.488,24,96.1,97.6,-1.82,1997,7880,8003,0.984630763463701
"Dallas Mavericks",24,58,0.293,40,90.6,97,-6.47,1997,7429,7954,0.933995473975358
"Denver Nuggets",21,61,0.256,43,97.8,104.1,-6.4,1997,8020,8536,0.939550140581068
"San Antonio Spurs",20,62,0.244,44,90.5,98.3,-7.93,1997,7421,8061,0.920605383947401
"Vancouver Grizzlies",14,68,0.171,50,89.2,99.4,-10.17,1997,7314,8151,0.897313213102687
"Seattle SuperSonics",57,25,0.695,0,100.9,93.2,6.91,1997,8274,7642,1.08270086364826
"Los Angeles Lakers",56,26,0.683,1,100,95.7,3.66,1997,8200,7847,1.04498534471773
"Portland Trail Blazers",49,33,0.598,8,99,94.8,3.56,1997,8118,7774,1.04425006431695
"Phoenix Suns",40,42,0.488,17,102.8,102.2,0.21,1997,8430,8380,1.00596658711217
"Los Angeles Clippers",36,46,0.439,21,97.2,99.5,-2.66,1997,7970,8159,0.976835396494668
"Sacramento Kings",34,48,0.415,23,96.4,99.8,-3.64,1997,7905,8184,0.965909090909091
"Golden State Warriors",30,52,0.366,27,99.6,104.4,-4.9,1997,8167,8561,0.9539773390959
"Miami Heat",55,27,0.671,0,95,90,5.09,1998,7790,7380,1.05555555555556
"New York Knicks",43,39,0.524,12,91.6,89.1,2.74,1998,7511,7306,1.02805912948262
"New Jersey Nets",43,39,0.524,12,99.6,98.1,1.88,1998,8167,8044,1.01529090004973
"Washington Wizards",42,40,0.512,13,97.2,96.6,1.11,1998,7970,7921,1.0061860876152
"Orlando Magic",41,41,0.5,14,90.1,91.2,-0.53,1998,7388,7478,0.987964696442899
"Boston Celtics",36,46,0.439,19,95.9,98.5,-1.96,1998,7864,8077,0.973628822582642
"Philadelphia ers",31,51,0.378,24,93.3,95.7,-1.89,1998,7651,7847,0.975022301516503
"Chicago Bulls",62,20,0.756,0,96.7,89.6,7.24,1998,7929,7347,1.07921600653328
"Indiana Pacers",58,24,0.707,4,96,89.9,6.25,1998,7872,7372,1.06782419967444
"Charlotte Hornets",51,31,0.622,11,96.6,94.6,2.45,1998,7921,7757,1.02114219414722
"Atlanta Hawks",50,32,0.61,12,95.9,92.3,3.85,1998,7864,7569,1.03897476549082
"Cleveland Cavaliers",47,35,0.573,15,92.5,89.8,3.06,1998,7585,7364,1.03001086366105
"Detroit Pistons",37,45,0.451,25,94.2,92.6,1.95,1998,7724,7593,1.01725273278019
"Milwaukee Bucks",36,46,0.439,26,94.5,96.4,-1.33,1998,7749,7905,0.980265654648956
"Toronto Raptors",16,66,0.195,46,94.9,104.2,-8.33,1998,7782,8544,0.910814606741573
"Utah Jazz",62,20,0.756,0,101,94.4,5.73,1998,8282,7741,1.06988761141971
"San Antonio Spurs",56,26,0.683,6,92.5,88.5,3.3,1998,7585,7257,1.04519774011299
"Minnesota Timberwolves",45,37,0.549,17,101.1,100.4,0.17,1998,8290,8233,1.00692335722094
"Houston Rockets",41,41,0.5,21,98.8,99.5,-1.23,1998,8102,8159,0.993013849736487
"Dallas Mavericks",20,62,0.244,42,91.4,97.5,-6.33,1998,7495,7995,0.937460913070669
"Vancouver Grizzlies",19,63,0.232,43,96.6,103.9,-7.47,1998,7921,8520,0.929694835680751
"Denver Nuggets",11,71,0.134,51,89,100.8,-11.74,1998,7298,8266,0.882893781756593
"Seattle SuperSonics",61,21,0.744,0,100.6,93.4,6.33,1998,8249,7659,1.07703355529442
"Los Angeles Lakers",61,21,0.744,0,105.5,97.8,6.88,1998,8651,8020,1.0786783042394
"Phoenix Suns",56,26,0.683,5,99.6,94.4,4.44,1998,8167,7741,1.05503164965767
"Portland Trail Blazers",46,36,0.561,15,94.3,92.9,0.83,1998,7733,7618,1.01509582567603
"Sacramento Kings",27,55,0.329,34,93.1,98.7,-5.83,1998,7634,8093,0.943284319782528
"Golden State Warriors",19,63,0.232,42,88.3,97.4,-9.2,1998,7241,7987,0.90659822211093
"Los Angeles Clippers",17,65,0.207,44,95.9,103.3,-7.53,1998,7864,8471,0.92834376106717
"Miami Heat",33,17,0.66,0,89,84,5.11,1999,4450,4200,1.05952380952381
"Orlando Magic",33,17,0.66,0,89.5,86.9,3.11,1999,4475,4345,1.02991944764097
"Philadelphia ers",28,22,0.56,5,89.7,87.6,2.56,1999,4485,4380,1.02397260273973
"New York Knicks",27,23,0.54,6,86.4,85.4,1.45,1999,4320,4270,1.01170960187354
"Boston Celtics",19,31,0.38,14,93,94.9,-1.75,1999,4650,4745,0.979978925184405
"Washington Wizards",18,32,0.36,15,91.2,93.4,-1.75,1999,4560,4670,0.97644539614561
"New Jersey Nets",16,34,0.32,17,91.4,95.2,-3.2,1999,4570,4760,0.960084033613445
"Indiana Pacers",33,17,0.66,0,94.7,90.9,3.86,1999,4735,4545,1.04180418041804
"Atlanta Hawks",31,19,0.62,2,86.3,83.4,2.82,1999,4315,4170,1.0347721822542
"Detroit Pistons",29,21,0.58,4,90.4,86.9,3.97,1999,4520,4345,1.04027617951669
"Milwaukee Bucks",28,22,0.56,5,91.7,90,1.66,1999,4585,4500,1.01888888888889
"Charlotte Hornets",26,24,0.52,7,92.9,93,0.63,1999,4645,4650,0.998924731182796
"Toronto Raptors",23,27,0.46,10,91.1,92.8,-1.32,1999,4555,4640,0.981681034482759
"Cleveland Cavaliers",22,28,0.44,11,86.4,88.2,-0.94,1999,4320,4410,0.979591836734694
"Chicago Bulls",13,37,0.26,20,81.9,91.4,-8.58,1999,4095,4570,0.896061269146608
"San Antonio Spurs",37,13,0.74,0,92.8,84.7,7.12,1999,4640,4235,1.09563164108619
"Utah Jazz",37,13,0.74,0,93.3,86.8,5.54,1999,4665,4340,1.07488479262673
"Houston Rockets",31,19,0.62,6,94.2,91.9,1.39,1999,4710,4595,1.02502720348205
"Minnesota Timberwolves",25,25,0.5,12,92.9,92.6,-0.17,1999,4645,4630,1.00323974082073
"Dallas Mavericks",19,31,0.38,18,91.6,94,-2.5,1999,4580,4700,0.974468085106383
"Denver Nuggets",14,36,0.28,23,93.5,100.1,-6.67,1999,4675,5005,0.934065934065934
"Vancouver Grizzlies",8,42,0.16,29,88.9,97.5,-8.94,1999,4445,4875,0.911794871794872
"Portland Trail Blazers",35,15,0.7,0,94.8,88.5,5.67,1999,4740,4425,1.07118644067797
"Los Angeles Lakers",31,19,0.62,4,99,96,2.68,1999,4950,4800,1.03125
"Phoenix Suns",27,23,0.54,8,95.6,93.3,2.15,1999,4780,4665,1.02465166130761
"Sacramento Kings",27,23,0.54,8,100.2,100.6,-0.89,1999,5010,5030,0.996023856858847
"Seattle SuperSonics",25,25,0.5,10,94.9,95.9,-1.43,1999,4745,4795,0.989572471324296
"Golden State Warriors",21,29,0.42,14,88.3,90.8,-2.63,1999,4415,4540,0.972466960352423
"Los Angeles Clippers",9,41,0.18,26,90.4,99.2,-8.94,1999,4520,4960,0.911290322580645
"Miami Heat",52,30,0.634,0,94.4,91.3,2.75,2000,7741,7487,1.03392547081608
"New York Knicks",50,32,0.61,2,92.1,90.7,1.3,2000,7552,7437,1.01546322441845
"Philadelphia ers",49,33,0.598,3,94.8,93.4,1.02,2000,7774,7659,1.01501501501502
"Orlando Magic",41,41,0.5,11,100.1,99.4,0.43,2000,8208,8151,1.00699300699301
"Boston Celtics",35,47,0.427,17,99.3,100.1,-1,2000,8143,8208,0.99208089668616
"New Jersey Nets",31,51,0.378,21,98,99,-1.18,2000,8036,8118,0.98989898989899
"Washington Wizards",29,53,0.354,23,96.6,99.9,-3.47,2000,7921,8192,0.9669189453125
"Indiana Pacers",56,26,0.683,0,101.3,96.7,4.15,2000,8307,7929,1.04767309875142
"Charlotte Hornets",49,33,0.598,7,98.4,95.8,2.33,2000,8069,7856,1.02711303462322
"Toronto Raptors",45,37,0.549,11,97.2,97.3,-0.46,2000,7970,7979,0.998872039102644
"Detroit Pistons",42,40,0.512,14,103.5,102,1.13,2000,8487,8364,1.01470588235294
"Milwaukee Bucks",42,40,0.512,14,101.2,101,-0.06,2000,8298,8282,1.00193190050712
"Cleveland Cavaliers",32,50,0.39,24,97,100.5,-3.64,2000,7954,8241,0.965174129353234
"Atlanta Hawks",28,54,0.341,28,94.3,99.7,-5.41,2000,7733,8175,0.945932721712538
"Chicago Bulls",17,65,0.207,39,84.8,94.2,-9.23,2000,6954,7724,0.900310719834283
"Utah Jazz",55,27,0.671,0,96.5,92,4.52,2000,7913,7544,1.04891304347826
"San Antonio Spurs",53,29,0.646,2,96.2,90.2,5.92,2000,7888,7396,1.06652244456463
"Minnesota Timberwolves",50,32,0.61,5,98.5,96,2.67,2000,8077,7872,1.02604166666667
"Dallas Mavericks",40,42,0.488,15,101.4,102,-0.29,2000,8315,8364,0.994141559062649
"Denver Nuggets",35,47,0.427,20,99,101.1,-1.76,2000,8118,8290,0.979252110977081
"Houston Rockets",34,48,0.415,21,99.5,100.3,-0.57,2000,8159,8225,0.991975683890578
"Vancouver Grizzlies",22,60,0.268,33,93.9,99.5,-5.1,2000,7700,8159,0.943743105772766
"Los Angeles Lakers",67,15,0.817,0,100.8,92.3,8.41,2000,8266,7569,1.09208614083763
"Portland Trail Blazers",59,23,0.72,8,97.5,91,6.36,2000,7995,7462,1.07142857142857
"Phoenix Suns",53,29,0.646,14,98.9,93.7,5.24,2000,8110,7683,1.05557724847065
"Seattle SuperSonics",45,37,0.549,22,99.1,98.1,1.17,2000,8126,8044,1.01019393336648
"Sacramento Kings",44,38,0.537,23,105,102,3.04,2000,8610,8364,1.02941176470588
"Golden State Warriors",19,63,0.232,48,95.5,103.8,-7.63,2000,7831,8512,0.91999530075188
"Los Angeles Clippers",15,67,0.183,52,92,103.5,-10.73,2000,7544,8487,0.888888888888889
"Philadelphia ers",56,26,0.683,0,94.7,90.4,3.64,2001,7765,7413,1.04748414946715
"Miami Heat",50,32,0.61,6,88.9,86.6,1.73,2001,7290,7101,1.02661596958175
"New York Knicks",48,34,0.585,8,88.7,86.1,1.98,2001,7273,7060,1.03016997167139
"Orlando Magic",43,39,0.524,13,97.5,96.5,0.39,2001,7995,7913,1.01036269430052
"Boston Celtics",36,46,0.439,20,94.6,96.8,-2.4,2001,7757,7938,0.977198286722096
"New Jersey Nets",26,56,0.317,30,92.1,97.1,-5.3,2001,7552,7962,0.948505400653102
"Washington Wizards",19,63,0.232,37,93.2,99.9,-6.75,2001,7642,8192,0.932861328125
"Milwaukee Bucks",52,30,0.634,0,100.7,96.9,3.14,2001,8257,7946,1.03913918952932
"Toronto Raptors",47,35,0.573,5,97.6,95.4,1.69,2001,8003,7823,1.02300907580212
"Charlotte Hornets",46,36,0.561,6,91.9,89.8,1.45,2001,7536,7364,1.02335687126562
"Indiana Pacers",41,41,0.5,11,92.6,92.8,-0.77,2001,7593,7610,0.997766097240473
"Detroit Pistons",32,50,0.39,20,95.6,97.3,-2.08,2001,7839,7979,0.982453941596691
"Cleveland Cavaliers",30,52,0.366,22,92.2,96.5,-4.48,2001,7560,7913,0.955389864779477
"Atlanta Hawks",25,57,0.305,27,91,96.2,-5.55,2001,7462,7888,0.945993914807302
"Chicago Bulls",15,67,0.183,37,87.6,96.7,-9.09,2001,7183,7929,0.905914995585824
"San Antonio Spurs",58,24,0.707,0,96.2,88.4,7.92,2001,7888,7249,1.08815008966754
"Utah Jazz",53,29,0.646,5,97.1,92.4,5,2001,7962,7577,1.05081166688663
"Dallas Mavericks",53,29,0.646,5,100.5,96.2,4.61,2001,8241,7888,1.04475152129817
"Minnesota Timberwolves",47,35,0.573,11,97.3,96,1.81,2001,7979,7872,1.0135924796748
"Houston Rockets",45,37,0.549,13,97.2,94.9,2.71,2001,7970,7782,1.02415831405808
"Denver Nuggets",40,42,0.488,18,96.6,99,-1.83,2001,7921,8118,0.975732939147573
"Vancouver Grizzlies",23,59,0.28,35,91.7,97.5,-4.94,2001,7519,7995,0.940462789243277
"Los Angeles Lakers",56,26,0.683,0,100.6,97.2,3.74,2001,8249,7970,1.03500627352572
"Sacramento Kings",55,27,0.671,1,101.7,95.9,6.07,2001,8339,7864,1.0604018311292
"Phoenix Suns",51,31,0.622,5,94,91.8,2.63,2001,7708,7528,1.02391073326249
"Portland Trail Blazers",50,32,0.61,6,95.4,91.2,4.52,2001,7823,7478,1.04613533030222
"Seattle SuperSonics",44,38,0.537,12,97.3,97.3,0.55,2001,7979,7979,1
"Los Angeles Clippers",31,51,0.378,25,92.5,95.3,-2.23,2001,7585,7815,0.970569417786308
"Golden State Warriors",17,65,0.207,39,92.5,101.5,-8.11,2001,7585,8323,0.911330049261084
"New Jersey Nets",52,30,0.634,0,96.2,92,3.67,2002,7888,7544,1.04559915164369
"Boston Celtics",49,33,0.598,3,96.4,94.1,1.75,2002,7905,7716,1.02449455676516
"Orlando Magic",44,38,0.537,8,100.5,98.9,1.25,2002,8241,8110,1.01615289765721
"Philadelphia ers",43,39,0.524,9,91,89.4,1.27,2002,7462,7331,1.01786932205702
"Washington Wizards",37,45,0.451,15,92.8,94.2,-1.58,2002,7610,7724,0.985240807871569
"Miami Heat",36,46,0.439,16,87.2,88.7,-1.84,2002,7150,7273,0.983088134194968
"New York Knicks",30,52,0.366,22,91.6,95.6,-4.15,2002,7511,7839,0.958157928307182
"Detroit Pistons",50,32,0.61,0,94.3,92.2,1.69,2002,7733,7560,1.0228835978836
"Charlotte Hornets",44,38,0.537,6,93.9,92.9,0.57,2002,7700,7618,1.01076398004726
"Toronto Raptors",42,40,0.512,8,91.4,91.8,-0.71,2002,7495,7528,0.995616365568544
"Indiana Pacers",42,40,0.512,8,96.8,96.5,-0.07,2002,7938,7913,1.00315935801845
"Milwaukee Bucks",41,41,0.5,9,97.5,97.7,-0.62,2002,7995,8011,0.998002746223942
"Atlanta Hawks",33,49,0.402,17,94,98.3,-4.41,2002,7708,8061,0.956208907083488
"Cleveland Cavaliers",29,53,0.354,21,95.3,98.6,-3.52,2002,7815,8085,0.966604823747681
"Chicago Bulls",21,61,0.256,29,89.5,98,-8.52,2002,7339,8036,0.913265306122449
"San Antonio Spurs",58,24,0.707,0,96.7,90.5,6.28,2002,7929,7421,1.06845438620132
"Dallas Mavericks",57,25,0.695,1,105.2,101,4.41,2002,8626,8282,1.04153586090316
"Minnesota Timberwolves",50,32,0.61,8,99.3,96,3.58,2002,8143,7872,1.03442581300813
"Utah Jazz",44,38,0.537,14,96,95.1,1.21,2002,7872,7798,1.00948961272121
"Houston Rockets",28,54,0.341,30,92.3,97.2,-4.31,2002,7569,7970,0.949686323713927
"Denver Nuggets",27,55,0.329,31,92.2,98,-5.19,2002,7560,8036,0.940766550522648
"Memphis Grizzlies",23,59,0.28,35,89.9,97.3,-6.74,2002,7372,7979,0.923925303922797
"Sacramento Kings",61,21,0.744,0,104.6,97,7.61,2002,8577,7954,1.07832537088257
"Los Angeles Lakers",58,24,0.707,3,101.3,94.1,7.15,2002,8307,7716,1.07659409020218
"Portland Trail Blazers",49,33,0.598,12,96.6,93.7,3.21,2002,7921,7683,1.03097748275413
"Seattle SuperSonics",45,37,0.549,16,97.7,94.7,3.24,2002,8011,7765,1.0316806181584
"Los Angeles Clippers",39,43,0.476,22,95.7,96.1,-0.09,2002,7847,7880,0.995812182741117
"Phoenix Suns",36,46,0.439,25,95.1,95.8,-0.3,2002,7798,7856,0.992617107942974
"Golden State Warriors",21,61,0.256,40,97.7,103.1,-4.8,2002,8011,8454,0.947598769813106
"New Jersey Nets",49,33,0.598,0,95.4,90.1,4.42,2003,7823,7388,1.05887926367082
"Philadelphia ers",48,34,0.585,1,96.8,94.5,1.76,2003,7938,7749,1.02439024390244
"Boston Celtics",44,38,0.537,5,92.7,93.1,-0.75,2003,7601,7634,0.995677233429395
"Orlando Magic",42,40,0.512,7,98.5,98.4,-0.39,2003,8077,8069,1.00099144875449
"Washington Wizards",37,45,0.451,12,91.5,92.5,-1.47,2003,7503,7585,0.989189189189189
"New York Knicks",37,45,0.451,12,95.9,97.2,-1.61,2003,7864,7970,0.986700125470514
"Miami Heat",25,57,0.305,24,85.6,90.6,-5.13,2003,7019,7429,0.944810876295598
"Detroit Pistons",50,32,0.61,0,91.4,87.7,2.97,2003,7495,7191,1.04227506605479
"Indiana Pacers",48,34,0.585,2,96.8,93.3,2.79,2003,7938,7651,1.03751143641354
"New Orleans Hornets",47,35,0.573,3,93.9,91.8,1.52,2003,7700,7528,1.02284803400638
"Milwaukee Bucks",42,40,0.512,8,99.5,99.3,-0.24,2003,8159,8143,1.00196487780916
"Atlanta Hawks",35,47,0.427,15,94.1,97.6,-3.87,2003,7716,8003,0.964138448081969
"Chicago Bulls",30,52,0.366,20,95,100.1,-5.31,2003,7790,8208,0.949074074074074
"Toronto Raptors",24,58,0.293,26,90.9,96.8,-6.1,2003,7454,7938,0.939027462836987
"Cleveland Cavaliers",17,65,0.207,33,91.4,101,-9.59,2003,7495,8282,0.904974643805844
"San Antonio Spurs",60,22,0.732,0,95.8,90.4,5.65,2003,7856,7413,1.05975988128963
"Dallas Mavericks",60,22,0.732,0,103,95.2,7.9,2003,8446,7806,1.08198821419421
"Minnesota Timberwolves",51,31,0.622,9,98.1,96,2.46,2003,8044,7872,1.02184959349593
"Utah Jazz",47,35,0.573,13,94.7,92.3,2.76,2003,7765,7569,1.0258950984278
"Houston Rockets",43,39,0.524,17,93.8,92.3,1.89,2003,7692,7569,1.01625049544193
"Memphis Grizzlies",28,54,0.341,32,97.5,100.7,-2.6,2003,7995,8257,0.96826934722054
"Denver Nuggets",17,65,0.207,43,84.2,92.4,-7.41,2003,6904,7577,0.911178566715059
"Sacramento Kings",59,23,0.72,0,101.7,95.2,6.68,2003,8339,7806,1.06828080963362
"Los Angeles Lakers",50,32,0.61,9,100.4,98,2.71,2003,8233,8036,1.02451468392235
"Portland Trail Blazers",50,32,0.61,9,95.2,92.5,2.97,2003,7806,7585,1.0291364535267
"Phoenix Suns",44,38,0.537,15,95.5,94.4,1.57,2003,7831,7741,1.01162640485725
"Seattle SuperSonics",40,42,0.488,19,92.1,92.3,0.37,2003,7552,7569,0.997753996564936
"Golden State Warriors",38,44,0.463,21,102.4,103.6,-0.6,2003,8397,8495,0.98846380223661
"Los Angeles Clippers",27,55,0.329,32,93.8,97.9,-3.45,2003,7692,8028,0.958146487294469
"New Jersey Nets",47,35,0.573,0,90.3,87.8,1.88,2004,7405,7200,1.02847222222222
"Miami Heat",42,40,0.512,5,90.3,89.7,-0.13,2004,7405,7355,1.00679809653297
"New York Knicks",39,43,0.476,8,92,93.5,-1.97,2004,7544,7667,0.983957219251337
"Boston Celtics",36,46,0.439,11,95.3,96.7,-1.99,2004,7815,7929,0.985622398789255
"Philadelphia ers",33,49,0.402,14,88,90.5,-2.95,2004,7216,7421,0.972375690607735
"Washington Wizards",25,57,0.305,22,91.8,97.4,-6.12,2004,7528,7987,0.942531613872543
"Orlando Magic",21,61,0.256,26,94,101.1,-7.25,2004,7708,8290,0.929794933655006
"Indiana Pacers",61,21,0.744,0,91.4,85.6,4.93,2004,7495,7019,1.0678159281949
"Detroit Pistons",54,28,0.659,7,90.1,84.3,5.04,2004,7388,6913,1.06871112396933
"New Orleans Hornets",41,41,0.5,20,91.8,91.9,-0.72,2004,7528,7536,0.998938428874735
"Milwaukee Bucks",41,41,0.5,20,98,97,0.42,2004,8036,7954,1.01030927835052
"Cleveland Cavaliers",35,47,0.427,26,92.9,95.5,-3.07,2004,7618,7831,0.972800408632359
"Toronto Raptors",33,49,0.402,28,85.4,88.5,-3.42,2004,7003,7257,0.964999311010059
"Atlanta Hawks",28,54,0.341,33,92.8,97.5,-5,2004,7610,7995,0.951844903064415
"Chicago Bulls",23,59,0.28,38,89.7,96,-6.69,2004,7355,7872,0.93432418699187
"Minnesota Timberwolves",58,24,0.707,0,94.5,89.1,5.86,2004,7749,7306,1.06063509444292
"San Antonio Spurs",57,25,0.695,1,91.5,84.3,7.51,2004,7503,6913,1.0853464487198
"Dallas Mavericks",52,30,0.634,6,105.2,100.8,4.86,2004,8626,8266,1.04355189934672
"Memphis Grizzlies",50,32,0.61,8,96.7,94.3,2.95,2004,7929,7733,1.02534592008276
"Houston Rockets",45,37,0.549,13,89.8,88,2.28,2004,7364,7216,1.02050997782705
"Denver Nuggets",43,39,0.524,15,97.2,96.1,1.65,2004,7970,7880,1.01142131979695
"Utah Jazz",42,40,0.512,16,88.7,89.9,-0.53,2004,7273,7372,0.98657080846446
"Los Angeles Lakers",56,26,0.683,0,98.2,94.3,4.35,2004,8052,7733,1.04125177809388
"Sacramento Kings",55,27,0.671,1,102.8,97.8,5.41,2004,8430,8020,1.05112219451372
"Portland Trail Blazers",41,41,0.5,15,90.7,92,-0.58,2004,7437,7544,0.985816542948038
"Golden State Warriors",37,45,0.451,19,93.3,94,-0.07,2004,7651,7708,0.992605085625324
"Seattle SuperSonics",37,45,0.451,19,97.1,97.8,0.02,2004,7962,8020,0.992768079800499
"Phoenix Suns",29,53,0.354,27,94.2,97.9,-2.94,2004,7724,8028,0.962132536123568
"Los Angeles Clippers",28,54,0.341,28,94.8,99.4,-3.74,2004,7774,8151,0.953748006379585
"Boston Celtics",45,37,0.549,0,101.3,100.4,0.35,2005,8307,8233,1.00898821814648
"Philadelphia ers",43,39,0.524,2,99.1,99.9,-1.07,2005,8126,8192,0.991943359375
"New Jersey Nets",42,40,0.512,3,91.4,92.9,-1.82,2005,7495,7618,0.983854029929115
"Toronto Raptors",33,49,0.402,12,99.7,101.4,-1.81,2005,8175,8315,0.983162958508719
