"Team","W","L","W/L%","GB","PS/G","PA/G","SRS","Year","Total.PF","Total.PA","Ratio"
"Philadelphia ers",46,36,0.561,6,111.9,110.4,1.68,1989,9176,9053,1.01358665635701
"Boston Celtics",42,40,0.512,10,109.2,108.1,1.26,1989,8954,8864,1.01015342960289
"Washington Bullets",40,42,0.488,12,108.3,110.4,-1.77,1989,8881,9053,0.981000773224346
"New Jersey Nets",26,56,0.317,26,103.7,110.1,-5.69,1989,8503,9028,0.941847585290208
"Charlotte Hornets",20,62,0.244,32,104.5,113,-7.74,1989,8569,9266,0.924778761061947
"Detroit Pistons",63,19,0.768,0,106.6,100.8,6.24,1989,8741,8266,1.05746431163804
"Cleveland Cavaliers",57,25,0.695,6,108.8,101.2,7.95,1989,8922,8298,1.07519884309472
"Atlanta Hawks",52,30,0.634,11,111,106.1,5.26,1989,9102,8700,1.04620689655172
"Milwaukee Bucks",49,33,0.598,14,108.9,105.3,4.11,1989,8930,8635,1.03416328894036
"Chicago Bulls",47,35,0.573,16,106.4,105,2.13,1989,8725,8610,1.01335656213705
"Indiana Pacers",28,54,0.341,35,106.9,111.1,-3,1989,8766,9110,0.962239297475302
"Utah Jazz",51,31,0.622,0,104.7,99.7,4.01,1989,8585,8175,1.05015290519878
"Houston Rockets",45,37,0.549,6,108.5,107.5,0.22,1989,8897,8815,1.0093023255814
"Denver Nuggets",44,38,0.537,7,118,116.3,0.91,1989,9676,9537,1.01457481388277
"Dallas Mavericks",38,44,0.463,13,103.5,104.7,-1.79,1989,8487,8585,0.988584740827024
"San Antonio Spurs",21,61,0.256,30,105.5,112.8,-7.45,1989,8651,9250,0.935243243243243
"Miami Heat",15,67,0.183,36,97.8,109,-11.13,1989,8020,8938,0.897292459163124
"Los Angeles Lakers",57,25,0.695,0,114.7,107.5,6.38,1989,9405,8815,1.06693136698809
"Phoenix Suns",55,27,0.671,2,118.6,110.9,6.84,1989,9725,9094,1.06938640862107
"Seattle SuperSonics",47,35,0.573,10,112.1,109.2,2.44,1989,9192,8954,1.02658029930757
"Golden State Warriors",43,39,0.524,14,116.6,116.9,-0.59,1989,9561,9586,0.997392030043814
"Portland Trail Blazers",39,43,0.476,18,114.6,113.1,0.92,1989,9397,9274,1.01326288548631
"Sacramento Kings",27,55,0.329,30,105.5,111,-5.35,1989,8651,9102,0.95045045045045
"Los Angeles Clippers",21,61,0.256,36,106.2,116.2,-9.5,1989,8708,9528,0.913937867338371
"Philadelphia ers",53,29,0.646,0,110.2,105.2,4.23,1990,9036,8626,1.04753072107582
"Boston Celtics",52,30,0.634,1,110,106,3.23,1990,9020,8692,1.0377358490566
"New York Knicks",45,37,0.549,8,108.3,106.9,0.78,1990,8881,8766,1.01311886835501
"Washington Bullets",31,51,0.378,22,107.7,109.9,-2.43,1990,8831,9012,0.979915667998225
"Miami Heat",18,64,0.22,35,100.6,110.3,-9.59,1990,8249,9045,0.91199557766722
"New Jersey Nets",17,65,0.207,36,100.1,108,-7.82,1990,8208,8856,0.926829268292683
"Detroit Pistons",59,23,0.72,0,104.3,98.3,5.41,1990,8553,8061,1.06103461109044
"Chicago Bulls",55,27,0.671,4,109.5,106.2,2.74,1990,8979,8708,1.031120808452
"Milwaukee Bucks",44,38,0.537,15,106,106.8,-1.06,1990,8692,8758,0.99246403288422
"Cleveland Cavaliers",42,40,0.512,17,102.6,102.9,-0.62,1990,8413,8438,0.997037212609623
"Indiana Pacers",42,40,0.512,17,109.3,109.1,-0.18,1990,8963,8946,1.00190029063269
"Atlanta Hawks",41,41,0.5,18,108.5,107.5,0.64,1990,8897,8815,1.0093023255814
"Orlando Magic",18,64,0.22,41,110.9,119.8,-8.73,1990,9094,9824,0.925692182410424
"San Antonio Spurs",56,26,0.683,0,106.3,102.8,3.58,1990,8717,8430,1.03404507710558
"Utah Jazz",55,27,0.671,1,106.8,102,4.82,1990,8758,8364,1.04710664753706
"Dallas Mavericks",47,35,0.573,9,102.2,102.2,0.42,1990,8380,8380,1
"Denver Nuggets",43,39,0.524,13,114.6,113.2,1.56,1990,9397,9282,1.0123895712131
"Houston Rockets",41,41,0.5,15,106.7,105.3,1.71,1990,8749,8635,1.01320208453966
"Minnesota Timberwolves",22,60,0.268,34,95.2,99.4,-3.6,1990,7806,8151,0.957673905042326
"Charlotte Hornets",19,63,0.232,37,100.4,108.2,-7,1990,8233,8872,0.92797565374211
"Los Angeles Lakers",63,19,0.768,0,110.7,103.9,6.74,1990,9077,8520,1.06537558685446
"Portland Trail Blazers",59,23,0.72,4,114.2,107.9,6.48,1990,9364,8848,1.05831826401447
"Phoenix Suns",54,28,0.659,9,114.9,107.8,7.09,1990,9422,8840,1.0658371040724
"Seattle SuperSonics",41,41,0.5,22,106.9,105.9,1.4,1990,8766,8684,1.00944265315523
"Golden State Warriors",37,45,0.451,26,116.3,119.4,-2.55,1990,9537,9791,0.974057808191196
"Los Angeles Clippers",30,52,0.366,33,103.8,107.2,-2.8,1990,8512,8790,0.968373151308305
"Sacramento Kings",23,59,0.28,40,101.7,106.8,-4.41,1990,8339,8758,0.952158026946792
"Boston Celtics",56,26,0.683,0,111.5,105.7,5.22,1991,9143,8667,1.05492096457829
"Philadelphia ers",44,38,0.537,12,105.4,105.6,-0.39,1991,8643,8659,0.998152211571775
"New York Knicks",39,43,0.476,17,103.1,103.3,-0.43,1991,8454,8471,0.997993153110613
"Washington Bullets",30,52,0.366,26,101.4,106.4,-4.84,1991,8315,8725,0.953008595988539
"New Jersey Nets",26,56,0.317,30,102.9,107.5,-4.53,1991,8438,8815,0.95723199092456
"Miami Heat",24,58,0.293,32,101.8,107.8,-5.91,1991,8348,8840,0.944343891402715
"Chicago Bulls",61,21,0.744,0,110,101,8.57,1991,9020,8282,1.08910891089109
"Detroit Pistons",50,32,0.61,11,100.1,96.8,3.08,1991,8208,7938,1.03401360544218
"Milwaukee Bucks",48,34,0.585,13,106.4,104,2.33,1991,8725,8528,1.02310037523452
"Atlanta Hawks",43,39,0.524,18,109.8,109,0.72,1991,9004,8938,1.00738420228239
"Indiana Pacers",41,41,0.5,20,111.7,112.1,-0.37,1991,9159,9192,0.996409921671018
"Cleveland Cavaliers",33,49,0.402,28,101.7,104.2,-2.33,1991,8339,8544,0.976006554307116
"Charlotte Hornets",26,56,0.317,35,102.8,108,-4.95,1991,8430,8856,0.95189701897019
"San Antonio Spurs",55,27,0.671,0,107.1,102.6,4.3,1991,8782,8413,1.04386069178652
"Utah Jazz",54,28,0.659,1,104,100.7,3.18,1991,8528,8257,1.03282063703524
"Houston Rockets",52,30,0.634,3,106.7,103.2,3.27,1991,8749,8462,1.03391633183645
"Orlando Magic",31,51,0.378,24,105.9,109.9,-3.79,1991,8684,9012,0.963604083444296
"Minnesota Timberwolves",29,53,0.354,26,99.6,103.5,-3.75,1991,8167,8487,0.962295275126664
"Dallas Mavericks",28,54,0.341,27,99.9,104.5,-4.27,1991,8192,8569,0.956004201190337
"Denver Nuggets",20,62,0.244,35,119.9,130.8,-10.31,1991,9832,10726,0.916651128099944
"Portland Trail Blazers",63,19,0.768,0,114.7,106,8.47,1991,9405,8692,1.08202945237
"Los Angeles Lakers",58,24,0.707,5,106.3,99.6,6.73,1991,8717,8167,1.06734419003306
"Phoenix Suns",55,27,0.671,8,114,107.5,6.49,1991,9348,8815,1.06046511627907
"Golden State Warriors",44,38,0.537,19,116.6,115,1.72,1991,9561,9430,1.01389183457052
"Seattle SuperSonics",41,41,0.5,22,106.6,105.4,1.31,1991,8741,8643,1.01133865555941
"Los Angeles Clippers",31,51,0.378,32,103.5,107,-3.16,1991,8487,8774,0.967289719626168
"Sacramento Kings",25,57,0.305,38,96.7,103.5,-6.27,1991,7929,8487,0.934252386002121
"Boston Celtics",51,31,0.622,0,106.6,103,3.41,1992,8741,8446,1.03492777646223
"New York Knicks",51,31,0.622,0,101.6,97.7,3.67,1992,8331,8011,1.03994507552116
"New Jersey Nets",40,42,0.488,11,105.4,107.1,-1.54,1992,8643,8782,0.98417217034844
"Miami Heat",38,44,0.463,13,105,109.2,-3.94,1992,8610,8954,0.961581416126871
"Philadelphia ers",35,47,0.427,16,101.9,103.2,-1.34,1992,8356,8462,0.987473410541243
"Washington Bullets",25,57,0.305,26,102.4,106.8,-4.35,1992,8397,8758,0.958780543503083
"Orlando Magic",21,61,0.256,30,101.6,108.5,-6.52,1992,8331,8897,0.936383050466449
"Chicago Bulls",67,15,0.817,0,109.9,99.5,10.07,1992,9012,8159,1.10454712587327
"Cleveland Cavaliers",57,25,0.695,10,108.9,103.4,5.34,1992,8930,8479,1.05319023469749
"Detroit Pistons",48,34,0.585,19,98.9,96.9,2.06,1992,8110,7946,1.02063931537881
"Indiana Pacers",40,42,0.488,27,112.2,110.3,1.85,1992,9200,9045,1.0171365395246
"Atlanta Hawks",38,44,0.463,29,106.2,107.7,-1.15,1992,8708,8831,0.986071792548975
"Milwaukee Bucks",31,51,0.378,36,105,106.7,-1.46,1992,8610,8749,0.984112469996571
